ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
BWAY,visible_count,leading_corr_ma,12,5,0.9486832980505138,0.013846832988859059,0.6,0.2587181689675025,0.9486832980505138
BSX,visible_count,leading_corr_ma,16,10,-0.9272727272727272,0.00011203450639397587,0.2,-0.10102088891155783,0.9272727272727272
IART,visible_count,resid,7,7,0.8571428571428573,0.013697326615325611,0.5714285714285714,0.2741066224915887,0.8571428571428573
ZTS,visible_count,leading_corr_momentum,14,10,0.8424242424242423,0.0022200312259168433,0.9,0.11591881113875671,0.8424242424242423
TDOC,visible_count,leading_corr_momentum,13,7,0.8214285714285715,0.023448808345691494,0.5714285714285714,0.22314401633626604,0.8214285714285715
TTC,visible_count,contemp_corr_historical,31,8,0.7380952380952381,0.03655276105286082,0.125,-0.025943178792119326,0.7380952380952381
RXST,visible_count,predicted_surprise_magnitude,8,5,0.7,0.1881204043741873,0.6,0.4003589290637285,0.7
SKIN,visible_count,leading_corr_ma,11,5,0.7,0.1881204043741873,0.4,-0.14522105043539468,0.7
HURC,visible_count,leading_corr_momentum,31,6,-0.6571428571428573,0.1561749271137024,0.3333333333333333,-0.1009403927663685,0.6571428571428573
GEHC,total_universe,leading_regime_shift,6,6,0.6546536707079772,0.15830242337545788,0.16666666666666666,0.1120445548988176,0.6546536707079772
QGEN,visible_count,predicted_surprise_direction,29,26,-0.6484972276303935,0.0003395454788152603,0.23076923076923078,-0.09580583012223984,0.6484972276303935
QDEL,visible_count,contemp_confidence,7,7,-0.6123724356957946,0.14381080871160376,0.0,-0.15153680630758432,0.6123724356957946
STE,visible_count,leading_corr_ma,20,10,-0.6121212121212121,0.05997214247725529,0.4,-0.024245700330639008,0.6121212121212121
ABT,visible_count,ucc_consensus_corr_historical,26,21,0.5818181818181818,0.005660702226084469,0.7142857142857143,0.08166741963899604,0.5818181818181818
XRAY,visible_count,leading_corr_historical,19,16,0.5813099439839444,0.018188952024673372,0.8125,0.15710418416264205,0.5813099439839444
RMD,visible_count,filtered_leading_corr,18,12,0.5804195804195805,0.04785597684206059,0.6666666666666666,0.21970174101132542,0.5804195804195805
ISRG,visible_count,predicted_rev_resid_calibrated,25,21,-0.5506493506493506,0.009687372375827964,0.3333333333333333,-0.0786349007273303,0.5506493506493506
HY,visible_count,predicted_surprise_magnitude_v2,16,6,0.5428571428571429,0.26570262390670546,0.6666666666666666,0.054233301427630304,0.5428571428571429
PII,visible_count,ucc_to_surprise_beta,31,28,0.5380405035577449,0.0031445593342814193,0.6785714285714286,0.1312687943897966,0.5380405035577449
ABBV,visible_count,leading_regime_shift,27,27,0.5354155880129409,0.004002164515799435,0.14814814814814814,0.15302368909245334,0.5354155880129409
MTW,visible_count,leading_regime_shift,31,31,-0.5197077581161876,0.002731729653468027,0.0,-0.2308784045867421,0.5197077581161876
NVST,visible_count,predicted_surprise_magnitude,19,16,-0.5147058823529412,0.04134580644224891,0.3125,-0.11763114338007918,0.5147058823529412
PRCT,visible_count,contemp_regime_shift,12,12,-0.5120915564991891,0.08874053918241118,0.16666666666666666,-0.12418516769515525,0.5120915564991891
APYX,visible_count,leading_confidence,19,19,0.5026900805298924,0.028263408560291765,0.3684210526315789,0.368301936005169,0.5026900805298924
IDXX,visible_count,contemp_corr_ma,24,15,-0.4964285714285714,0.05979741374992395,0.4,-0.06898717709424569,0.4964285714285714
MMM,visible_count,predicted_surprise_calibrated,24,15,0.4964285714285714,0.05979741374992395,0.5333333333333333,0.049491690296299136,0.4964285714285714
ALC,total_universe,leading_regime_shift,21,21,-0.47347967911616623,0.030155518100305395,0.0,-0.08222933760127814,0.47347967911616623
ENOV,visible_count,predicted_surprise_magnitude_v2,18,13,0.4725274725274725,0.10298105029992853,0.5384615384615384,0.05872383661170259,0.4725274725274725
MASI,visible_count,ucc_to_surprise_beta,20,13,-0.4725274725274725,0.10298105029992853,0.38461538461538464,-0.1327258355528091,0.4725274725274725
DE,total_universe,filtered_leading_corr,31,24,-0.4539130434782608,0.02588026580365202,0.375,-0.0622405635174889,0.4539130434782608
GM,visible_count,contemp_corr_momentum,31,26,-0.4455462537335249,0.022542741219225188,0.3076923076923077,-0.09338275875965231,0.4455462537335249
BAX,visible_count,resid,28,28,-0.43975910208979924,0.019199579757371608,0.39285714285714285,-0.04642976810639423,0.43975910208979924
ALGN,total_universe,predicted_surprise_magnitude,26,24,0.4339130434782608,0.03413496013263738,0.625,0.09645175182982402,0.4339130434782608
TXT,visible_count,contemp_corr_ma,33,24,0.4313735727808503,0.03531776401474013,0.625,0.001386054418691253,0.4313735727808503
CAT,visible_count,leading_corr_momentum,23,19,0.4298245614035088,0.06625050848320457,0.47368421052631576,0.04831253168782151,0.4298245614035088
TEX,visible_count,predicted_surprise_magnitude_v2,27,24,0.42260869565217385,0.039651798676195484,0.6666666666666666,0.02126831514203269,0.42260869565217385
WNC,visible_count,leading_regime_shift,31,31,0.4216496905470956,0.01815071924638294,0.12903225806451613,0.21846559586852007,0.4216496905470956
MDT,visible_count,consensus_revenue_corr_historical,26,21,-0.4194805194805195,0.0583606291344633,0.2857142857142857,-0.04013922227961175,0.4194805194805195
PCAR,total_universe,leading_corr_historical,13,10,0.41818181818181815,0.22911284098281895,0.7,0.08621218449101407,0.41818181818181815
VMI,visible_count,predicted_surprise_calibrated,31,28,-0.4132457580733443,0.02883376244295358,0.35714285714285715,-0.10720927607238422,0.4132457580733443
AGCO,visible_count,contemp_corr_ma,31,22,0.409373235460192,0.05850104223477932,0.6363636363636364,0.11424363612755555,0.409373235460192
BHC,visible_count,contemp_confidence,26,26,-0.4022205570557261,0.04164861205226438,0.11538461538461539,-0.106118914265461,0.4022205570557261
HSIC,visible_count,consensus_revenue_corr_historical,24,19,0.39649122807017545,0.09283378137851174,0.6842105263157895,0.08620007129572754,0.39649122807017545
LIN,visible_count,consensus_revenue_corr_historical,20,15,-0.3928571428571428,0.1474666553113262,0.3333333333333333,-0.03239256854261376,0.3928571428571428
XRX,visible_count,ucc_consensus_corr_historical,20,14,-0.3802197802197802,0.17990614630608132,0.42857142857142855,-0.09407163536720191,0.3802197802197802
ALG,visible_count,resid,32,32,-0.3777838894062932,0.03302683532581643,0.34375,-0.06962615549172091,0.3777838894062932
CNMD,visible_count,predicted_surprise_magnitude_v2,25,20,-0.35939849624060144,0.11963250632903898,0.3,-0.08667423437965564,0.35939849624060144
JNJ,visible_count,leading_corr_ma,26,20,-0.34319166656883704,0.13849976936431055,0.35,-0.04315751401905347,0.34319166656883704
IR,visible_count,filtered_leading_corr,30,26,0.3347008547008547,0.0946600224186945,0.5769230769230769,0.03378728055500849,0.3347008547008547
OSK,visible_count,predicted_surprise_magnitude_v2,19,16,0.3294117647058824,0.21280142621621306,0.625,0.047588167241602856,0.3294117647058824
ILMN,visible_count,ucc_to_rev_beta,28,26,-0.32761770824399816,0.10229595632490861,0.5,-0.02891623157541759,0.32761770824399816
HPE,visible_count,ucc_to_surprise_beta,21,18,0.31888544891640863,0.19712791388889883,0.6111111111111112,0.07610431543818141,0.31888544891640863
ZBH,visible_count,filtered_contemp_corr,26,23,-0.31225296442687744,0.1469017639625557,0.391304347826087,-0.04530821794480256,0.31225296442687744
BDX,visible_count,predicted_surprise_direction,24,22,-0.26096943350084134,0.24076751662449158,0.045454545454545456,-0.03181584173034512,0.26096943350084134
ASTE,visible_count,leading_corr_ma,29,23,0.24901185770750991,0.25188462234283976,0.5217391304347826,-0.003824665356778967,0.24901185770750991
HOLX,visible_count,predicted_surprise_magnitude_v2,27,23,-0.17786561264822134,0.41682106458459317,0.43478260869565216,-0.028156893162259538,0.17786561264822134
