ticker_a,ticker_b,signal_col,signal_corr
ALG,SKIN,predicted_surprise_direction,-1.0
LIN,PCAR,predicted_surprise_direction,-1.0
AGCO,TTC,filtered_contemp_corr,-0.9856107606091623
TTC,WNC,filtered_contemp_corr,-0.9642857142857145
BHC,HY,predicted_rev_resid_calibrated,-0.9361745372672995
BSX,PCAR,leading_corr_historical,-0.9285714285714287
BSX,PCAR,filtered_leading_corr,-0.9285714285714287
CAT,SKIN,leading_corr_historical,-0.9047619047619048
QGEN,TEX,filtered_contemp_corr,-0.9018956206252968
LIN,PCAR,predicted_rev_resid_calibrated,-0.8909090909090911
BAX,TTC,predicted_rev_resid_calibrated,-0.8720815992723809
HURC,RMD,leading_confidence,-0.870967741935484
ALG,DE,filtered_leading_corr,-0.8555211558307534
ALG,BWAY,leading_corr_historical,-0.8532469179729295
BWAY,ILMN,leading_corr_historical,-0.8532469179729295
BWAY,MASI,leading_corr_historical,-0.8532469179729295
ALG,BWAY,filtered_leading_corr,-0.8532469179729295
BWAY,ILMN,filtered_leading_corr,-0.8532469179729295
BWAY,MASI,filtered_leading_corr,-0.8532469179729295
RMD,TEX,filtered_contemp_corr,-0.8345238095238096
BSX,PCAR,filtered_contemp_corr,-0.8333333333333335
MMM,RMD,filtered_contemp_corr,-0.8333333333333335
MTW,RMD,filtered_leading_corr,-0.8333333333333333
STE,XRAY,filtered_contemp_corr,-0.8306277919354926
NVST,SKIN,leading_confidence,-0.8298300345124064
BSX,MASI,filtered_leading_corr,-0.8272727272727273
MMM,RXST,contemp_confidence,-0.8232319499226775
ALG,DE,leading_corr_historical,-0.8204404291360814
IDXX,MASI,filtered_leading_corr,-0.8181818181818182
BSX,HY,leading_corr_historical,-0.8115551006240759
BSX,HY,filtered_leading_corr,-0.8115551006240759
BHC,MASI,leading_corr_historical,-0.8065934065934066
LIN,WNC,filtered_contemp_corr,-0.8041958041958043
ALC,IDXX,filtered_leading_corr,-0.8008385313525288
ALG,SKIN,predicted_rev_resid_calibrated,-0.7999999999999999
MDT,QGEN,predicted_surprise_direction,-0.7999999999999999
BWAY,ZBH,leading_corr_historical,-0.7981987297166114
STE,WNC,filtered_contemp_corr,-0.7939393939393938
SKIN,TEX,predicted_surprise_direction,-0.7905694150420949
ABBV,MMM,leading_corr_historical,-0.7857142857142857
BSX,MASI,leading_corr_historical,-0.7857142857142857
MTW,RMD,leading_corr_historical,-0.7857142857142857
BWAY,ZBH,filtered_leading_corr,-0.7835467939002064
ABBV,MMM,filtered_leading_corr,-0.7832167832167832
BSX,MDT,filtered_leading_corr,-0.7818181818181819
ISRG,RMD,filtered_contemp_corr,-0.7762237762237763
BSX,JNJ,filtered_contemp_corr,-0.7747252747252747
BWAY,HSIC,leading_regime_shift,-0.7745966692414833
GM,IR,filtered_leading_corr,-0.7696078431372549
HY,NVST,leading_confidence,-0.7695794793334835
ALC,IDXX,leading_corr_historical,-0.7667139961519521
AGCO,HY,filtered_leading_corr,-0.7666666666666667
NVST,SKIN,leading_corr_historical,-0.7619047619047621
BWAY,XRAY,leading_corr_historical,-0.7614999375457328
IR,TXT,filtered_contemp_corr,-0.7598039215686275
ASTE,PII,filtered_leading_corr,-0.7560700169395823
IR,SKIN,predicted_surprise_direction,-0.7559289460184544
ISRG,SKIN,predicted_surprise_direction,-0.7559289460184544
BSX,MTW,filtered_leading_corr,-0.7545454545454545
BSX,MDT,leading_corr_historical,-0.7527472527472527
NVST,PRCT,leading_confidence,-0.7526692113578767
HURC,TTC,filtered_contemp_corr,-0.7500000000000002
BHC,MASI,filtered_leading_corr,-0.7482517482517484
HURC,VMI,filtered_contemp_corr,-0.7452380952380953
APYX,PRCT,filtered_leading_corr,-0.7380952380952381
JNJ,RMD,filtered_contemp_corr,-0.7363636363636363
