signal_col,n_tickers,mean_ic,mean_full_sample_abs_ic,mean_rolling_abs_ic,median_ic,n_significant,mean_accuracy
leading_regime_shift,50,0.05155271467668319,0.1970027216654988,0.42857185962270294,0.0,13,0.09597631131896511
predicted_surprise_magnitude,50,-0.03857216023331242,0.22755859345154567,0.42839969399070277,-0.0793103448275862,10,0.4767598321155381
predicted_rev_resid_calibrated,50,-0.04194765746761787,0.23448081078809552,0.4219568111693352,-0.057893983411224786,17,0.4767598321155381
predicted_surprise_direction,52,-0.027693092455700657,0.2017373903863495,0.40078587911169206,-0.016826297312801577,13,0.4497426364394348
predicted_surprise_magnitude_v2,51,-0.012126997902761682,0.19762943912290348,0.3987654294269786,-0.05294117647058824,7,0.47802201661806576
contemp_confidence,50,0.04393150492521619,0.21890065576641457,0.39763483069797717,0.07533187231229893,11,0.193184664868825
leading_confidence,49,-0.008401686262254134,0.23532176881432648,0.3974023160628728,-0.025970200826593612,14,0.20871514568845034
resid,56,0.0023085635845378908,0.17874853050046918,0.39367908280441777,-0.00009164222873900285,9,0.4908243136019534
predicted_surprise_calibrated,51,-0.023033031577948993,0.17623042939358097,0.3860008313095726,-0.02058823529411765,7,0.4780220166180657
ucc_surprise_corr_historical,51,0.02140383388678675,0.17876616321887512,0.3833951303641973,0.03557312252964427,7,0.49189852261008227
leading_corr_momentum,47,0.10650403701657495,0.21813439318267275,0.3828431780518636,0.10905982905982906,7,0.5155964136555602
filtered_leading_corr,47,0.07309211088379661,0.23415765138955716,0.3801435174210982,0.08461538461538462,14,0.49204647761190123
ucc_to_rev_beta,50,0.05296240369486426,0.20360367684273345,0.3774817344596293,0.02938341328434208,8,0.5108948022978449
leading_corr_historical,47,0.0617998391250826,0.2205695001163348,0.37683316082943696,0.05264523459186671,14,0.4958388608359712
contemp_corr_ma,47,0.03149815566739966,0.20148075275224225,0.37451052492456577,0.016483516483516484,7,0.5195479265910411
ucc_to_surprise_beta,51,0.01964102321174875,0.19744171891779783,0.37444189827477076,0.0411764705882353,10,0.49189852261008227
contemp_corr_momentum,47,-0.017516332721151884,0.20996035858377646,0.3737129765097536,0.03258458448810094,9,0.4993613221221839
leading_corr_ma,45,0.00758523117630279,0.23482544603645744,0.36698134414838046,-0.012987012987012986,9,0.4724530406806771
contemp_corr_historical,50,0.02193938621750147,0.1963100923287528,0.36458871660747755,0.017735940530058177,8,0.5108948022978449
filtered_contemp_corr,49,0.014401626628200931,0.21051666732623758,0.3614452175355729,0.017857142857142853,11,0.507353647950879
consensus_revenue_corr_historical,29,0.02131647292251527,0.21779438345359028,0.3608747630890717,0.0,8,0.5296405365008834
contemp_regime_shift,46,-0.033682208575344465,0.1681651793156762,0.3548633938027126,-0.016119127876558996,8,0.0764178996139455
ucc_consensus_corr_historical,29,-0.0217991761231165,0.20200504697417163,0.3539316801539968,-0.07135547991073468,6,0.5219061398474788
