entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2018-07-17,2018-10-11,1.0,61,-0.051262883407970805,2018-07-31,1.685921202750915,0.0,1,,,unknown,low,true,0.04,1,,true,false,direction_wrong_loss,-0.02520036500069034,-0.026062518407280466
2018-10-12,2018-10-23,1.0,7,-0.051929245296014725,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.008479862884444689,-0.04344938241157004
2018-10-24,2018-10-31,1.0,5,0.11923344570741334,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,true,direction_right_profit,0.0200131936745489,0.09922025203286444
2018-11-01,2018-12-17,1.0,30,-0.058528929719231626,2019-02-05,-1.2030104330834454e-14,0.0,-1,1.0,,strong_positive,medium,true,0.008638132295719844,1,0.008638132295720063,false,false,direction_wrong_loss,-0.06635958410264642,0.007830654383414792
2018-12-18,2018-12-24,1.0,4,-0.07568233460588958,2019-02-05,-1.2030104330834454e-14,0.0,-1,1.0,,strong_positive,medium,true,0.008638132295719844,1,0.008638132295720063,false,false,direction_wrong_loss,-0.07594283675818947,0.0002605021522998907
2018-12-26,2019-01-07,1.0,7,0.10086992763025404,2019-02-05,-1.2030104330834454e-14,0.0,-1,1.0,,strong_positive,medium,true,0.008638132295719844,1,0.008638132295720063,false,true,direction_right_profit,0.03330905964187969,0.06756086798837435
2019-01-08,2019-01-22,1.0,9,0.04436702764803857,2019-02-05,-1.2030104330834454e-14,0.0,-1,1.0,,strong_positive,medium,true,0.008638132295719844,1,0.008638132295720063,false,true,direction_right_profit,0.023717529505836055,0.020649498142202516
2019-01-22,2019-02-21,-1.0,21,-0.05909921229756332,2019-02-05,-1.2030104330834454e-14,0.0,-1,1.0,,strong_positive,medium,true,0.008638132295719844,1,0.008638132295720063,false,false,direction_wrong_loss,0.055390706616401886,-0.1144899189139652
2019-02-22,2019-04-01,-1.0,26,-0.05212854940032452,2019-05-02,3.854149442103845e-12,0.0,1,1.0,-1.0000000000000004,strong_negative,medium,true,0.013096446700507615,1,0.01309644670042057,true,false,direction_wrong_loss,0.02847588578914162,-0.08060443518946614
2019-04-02,2019-04-17,-1.0,11,-0.028632056892771818,2019-05-02,3.854149442103845e-12,0.0,1,1.0,-1.0000000000000004,strong_negative,medium,true,0.013096446700507615,1,0.01309644670042057,true,false,direction_wrong_loss,0.012168739092650371,-0.04080079598542219
2019-04-17,2019-05-02,1.0,10,0.03252034481812838,2019-05-02,3.854149442103845e-12,0.0,1,1.0,-1.0000000000000004,strong_negative,medium,true,0.013096446700507615,1,0.01309644670042057,true,true,direction_right_profit,0.005976671314475546,0.02654367350365283
2019-05-03,2019-05-13,1.0,6,-0.05600124097969661,2019-07-30,-5.9712989347918e-12,0.0,-1,0.9999999999999999,-0.5000569748254747,strong_negative,medium,false,-0.04996078431372549,-1,0.04996078431364501,true,false,direction_wrong_loss,-0.04479144942948132,-0.011209791550215287
2019-05-14,2019-05-17,1.0,3,-0.055882367522364085,2019-07-30,-5.9712989347918e-12,0.0,-1,0.9999999999999999,-0.5000569748254747,strong_negative,medium,false,-0.04996078431372549,-1,0.04996078431364501,true,false,direction_wrong_loss,0.008610099297780671,-0.06449246682014476
2019-05-20,2019-06-17,1.0,19,0.10075651748527803,2019-07-30,-5.9712989347918e-12,0.0,-1,0.9999999999999999,-0.5000569748254747,strong_negative,medium,false,-0.04996078431372549,-1,0.04996078431364501,true,true,direction_right_profit,0.019088039804456836,0.0816684776808212
2019-06-18,2019-07-16,1.0,19,0.04005963356374842,2019-07-30,-5.9712989347918e-12,0.0,-1,0.9999999999999999,-0.5000569748254747,strong_negative,medium,false,-0.04996078431372549,-1,0.04996078431364501,true,true,direction_right_profit,0.03022613126872087,0.009833502295027552
2019-07-16,2019-08-05,-1.0,14,0.09996167448395865,2019-07-30,-5.9712989347918e-12,0.0,-1,0.9999999999999999,-0.5000569748254747,strong_negative,medium,false,-0.04996078431372549,-1,0.04996078431364501,true,true,direction_right_profit,-0.05323910543687094,0.1532007799208296
2019-08-06,2019-08-14,-1.0,6,0.10081707937906492,2019-10-29,-1.0107822889545816e-6,0.0,-1,0.000508240024395955,-0.3174430838504212,weak_negative,medium,false,-0.0707488986784141,-1,32.320282160930354,true,true,direction_right_profit,-0.013550820600574442,0.11436789997963936
2019-08-15,2019-08-19,-1.0,2,-0.052246923115506494,2019-10-29,-1.0107822889545816e-6,0.0,-1,0.000508240024395955,-0.3174430838504212,weak_negative,medium,false,-0.0707488986784141,-1,32.320282160930354,true,false,direction_wrong_loss,0.02698094652473748,-0.07922786964024398
2019-08-20,2019-09-09,-1.0,13,-0.06929529759588826,2019-10-29,-1.0107822889545816e-6,0.0,-1,0.000508240024395955,-0.3174430838504212,weak_negative,medium,false,-0.0707488986784141,-1,32.320282160930354,true,false,direction_wrong_loss,0.027957096422944083,-0.09725239401883234
2019-09-10,2019-11-04,-1.0,39,-0.05105851147275331,2019-10-29,-1.0107822889545816e-6,0.0,-1,0.000508240024395955,-0.3174430838504212,weak_negative,medium,false,-0.0707488986784141,-1,32.320282160930354,true,false,direction_wrong_loss,0.03575397800530733,-0.08681248947806064
2019-11-05,2020-01-27,-1.0,55,0.127393184733687,2020-02-06,-0.0005174252011901305,0.0,-1,0.9999897432427953,1.0000026850598043,regime_shift,medium,false,-0.06208955223880597,-1,31.276524280296197,true,true,direction_right_profit,0.05882306134763904,0.06857012338604795
2020-01-28,2020-02-26,-1.0,20,0.11075542412690031,2020-02-06,-0.0005174252011901305,0.0,-1,0.9999897432427953,1.0000026850598043,regime_shift,medium,false,-0.06208955223880597,-1,31.276524280296197,true,true,direction_right_profit,-0.047080384516210216,0.15783580864311053
2020-02-27,2020-03-12,-1.0,10,0.18051488576828945,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,-0.16604486529452833,0.3465597510628178
2020-03-13,2020-03-16,-1.0,1,0.13302008779062036,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,-0.10942334258050579,0.24244343037112615
2020-03-17,2020-03-18,-1.0,1,0.18782952625461358,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,-0.05063288387787712,0.2384624101324907
2020-03-19,2020-03-23,-1.0,2,0.11020958187671015,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,-0.06756057400213611,0.17777015587884626
2020-03-24,2020-03-26,-1.0,2,-0.1056191900395902,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,false,direction_wrong_loss,0.07423434900440751,-0.1798535390439977
2020-03-27,2020-04-07,-1.0,7,-0.0636363447673225,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,false,direction_wrong_loss,0.04620794653768967,-0.10984429130501216
2020-04-08,2020-04-16,-1.0,5,0.12007840631315014,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,0.01850185881241395,0.10157654750073619
2020-04-17,2020-04-21,-1.0,2,0.03637120563524221,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,-0.04744622250918695,0.08381742814442916
2020-04-21,2020-04-29,1.0,6,0.1310550623642448,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,true,direction_right_profit,0.07387165212492497,0.05718341023931983
2020-04-30,2020-05-04,1.0,2,-0.06056018331600377,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,false,direction_wrong_loss,-0.023788163852919153,-0.036772019463084615
2020-05-05,2020-05-13,1.0,6,-0.07075866993086855,2020-05-05,0.0008737093134270565,0.0,1,0.9999978507134081,0.999992360627096,strong_positive,medium,true,0.031176470588235295,1,0.013277412040196137,true,false,direction_wrong_loss,-0.016038386529314774,-0.05472028340155377
2020-05-14,2020-05-20,1.0,4,0.11843256961159199,2020-07-30,0.027371489263764814,0.3076923076923077,1,0.9937906535937849,-0.9472747858678977,regime_shift,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,direction_right_profit,0.0419691596304268,0.07646340998116519
2020-05-21,2020-05-26,1.0,2,0.1162427905742518,2020-07-30,0.027371489263764814,0.3076923076923077,1,0.9937906535937849,-0.9472747858678977,regime_shift,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,direction_right_profit,0.014243007334156177,0.10199978324009562
2020-05-27,2020-06-11,1.0,11,-0.06382228424588798,2020-07-30,0.027371489263764814,0.3076923076923077,1,0.9937906535937849,-0.9472747858678977,regime_shift,medium,true,0.15333333333333332,1,1.8430737839105757,true,false,direction_wrong_loss,-0.00962029309514334,-0.054201991150744644
2020-06-12,2020-07-15,1.0,22,0.1204058222762796,2020-07-30,0.027371489263764814,0.3076923076923077,1,0.9937906535937849,-0.9472747858678977,regime_shift,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,direction_right_profit,0.06264216374913101,0.0577636585271486
2020-07-16,2020-07-30,1.0,10,0.10223918274050159,2020-07-30,0.027371489263764814,0.3076923076923077,1,0.9937906535937849,-0.9472747858678977,regime_shift,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,direction_right_profit,0.0098817594211289,0.09235742331937269
