entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2016-10-26,2016-11-23,1.0,20,0.10811015701283577,2016-10-26,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.03256326873572024,0.07554688827711553
2016-11-25,2017-01-20,1.0,37,0.10230071825344567,2017-02-07,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.029597407485692173,0.07270331076775349
2017-01-23,2017-02-07,1.0,11,0.028116727429776445,2017-02-07,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.012337152263320661,0.015779575166455784
2017-04-28,2017-07-11,1.0,50,0.102726929600365,2017-04-28,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.02222387332174769,0.08050305627861731
2017-07-12,2017-10-31,1.0,78,-0.004385533114418583,2017-07-27,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.05908008063300607,-0.06346561374742465
2017-10-31,2018-03-02,-1.0,83,0.056647269085909,2017-10-31,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.05174194913006436,0.004905319955844645
2018-03-05,2018-07-31,-1.0,103,0.031919577372165,2018-05-01,,0.0,0,,,unknown,low,true,0.0793010752688172,1,,false,true,direction_right_profit,0.04237885261646901,-0.010459275244304012
2018-07-31,2018-08-13,1.0,9,-0.0714058098460566,2018-07-31,1.685921202750915,0.0,1,,,unknown,low,true,0.04,1,,true,false,direction_wrong_loss,0.0027369981012366207,-0.07414280794729322
2018-08-14,2018-10-12,1.0,42,-0.05245172949037824,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.023602893059954333,-0.028848836430423908
2018-10-15,2018-10-23,1.0,6,-0.05618378716944705,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.0028788677030026077,-0.053304919466444445
2018-10-24,2018-10-30,1.0,4,0.08128664083187953,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,true,direction_right_profit,0.009233835497416631,0.0720528053344629
