entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2020-07-09,2020-09-21,1.0,51,0.3278647415138274,2020-07-30,0.02258147864260597,0.3076923076923077,1,contemp,0.9937906535937849,strong_positive,false,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,,direction_right_profit,0.0,0.3278647415138274,correlation_aware
2020-09-22,2020-10-29,1.0,27,0.07548769210932504,2020-07-30,0.02258147864260597,0.3076923076923077,1,contemp,0.9937906535937849,strong_positive,false,medium,true,0.15333333333333332,1,1.8430737839105757,true,true,,direction_right_profit,0.0,0.07548769210932504,correlation_aware
2020-10-30,2020-11-09,1.0,6,0.162144852103149,2020-11-03,-0.024524362557896414,0.3333333333333333,-1,contemp,-0.9989442166335094,regime_shift,true,medium,true,0.16705607476635514,1,0.3729669980474447,false,true,true,direction_right_profit,0.0,0.162144852103149,correlation_aware
2020-11-10,2021-01-27,1.0,52,0.15608006775271077,2020-11-03,-0.024524362557896414,0.3333333333333333,-1,contemp,-0.9989442166335094,regime_shift,true,medium,true,0.16705607476635514,1,0.3729669980474447,false,true,true,direction_right_profit,0.0,0.15608006775271077,correlation_aware
2021-01-28,2021-04-08,1.0,48,0.2949622712945148,2021-02-04,-0.12432184432342043,0.4615384615384615,-1,contemp,-0.9960889619002645,strong_negative,true,medium,true,0.09120481927710844,1,0.04082142715264535,false,true,true,direction_right_profit,0.0,0.2949622712945148,correlation_aware
2021-10-07,2021-10-28,1.0,15,-0.029082978057340392,2021-10-28,0.22467079492836087,0.5641025641025641,1,contemp,0.44089873690486364,regime_shift,false,medium,false,-0.050487804878048784,-1,0.05023048527605929,false,false,,direction_wrong_loss,0.0,-0.029082978057340392,correlation_aware
2021-10-29,2021-11-29,1.0,20,-0.0648522201952777,2021-10-28,0.22467079492836087,0.5641025641025641,1,contemp,0.44089873690486364,regime_shift,false,medium,false,-0.050487804878048784,-1,0.05023048527605929,false,false,,direction_wrong_loss,0.0,-0.0648522201952777,correlation_aware
2021-11-30,2021-12-20,1.0,14,-0.010162469784247508,2021-10-28,0.22467079492836087,0.5641025641025641,1,contemp,0.44089873690486364,regime_shift,false,medium,false,-0.050487804878048784,-1,0.05023048527605929,false,false,,direction_wrong_loss,0.0,-0.010162469784247508,correlation_aware
2022-04-11,2022-05-03,-1.0,15,0.05055345528379984,2022-05-03,0.38800460841350337,0.717948717948718,1,contemp,-0.45321867164712815,weak_negative,true,medium,true,0.0211787072243346,1,0.20196543853980922,true,true,true,direction_right_profit,0.0,0.05055345528379984,correlation_aware
2022-05-04,2022-05-17,-1.0,9,0.06081694560440154,2022-05-03,0.38800460841350337,0.717948717948718,1,contemp,-0.45321867164712815,weak_negative,true,medium,true,0.0211787072243346,1,0.20196543853980922,true,true,true,direction_right_profit,0.0,0.06081694560440154,correlation_aware
