entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2016-10-26,2017-02-07,1.0,70,0.26260624809258437,2016-10-26,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.26260624809258437,momentum
2017-04-28,2017-10-31,1.0,129,0.07606020231261135,2017-04-28,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.07606020231261135,momentum
2017-10-31,2018-07-31,-1.0,187,0.07484872892360772,2017-10-31,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.07484872892360772,momentum
2018-07-31,2018-10-30,1.0,64,-0.13869987608565015,2018-07-31,1.685921202750915,,1,,,unknown,false,no_data,true,0.04,1,,true,false,,direction_wrong_loss,0.0,-0.13869987608565015,momentum
2018-10-30,2019-02-05,-1.0,65,-0.17576925889356376,2018-10-30,1.1704960957049532e-14,,1,,,unknown,false,no_data,true,0.030093023255813953,1,,true,false,,direction_wrong_loss,0.0,-0.17576925889356376,momentum
2019-05-02,2019-07-30,1.0,61,0.07289632481971897,2019-05-02,3.854149442103845e-12,,1,,,unknown,false,no_data,true,0.013096446700507615,1,0.01309644670042057,true,true,,direction_right_profit,0.0,0.07289632481971897,momentum
2020-02-06,2020-05-05,-1.0,61,0.2885485373470661,2020-02-06,-0.0005174252011901305,,-1,,,unknown,false,no_data,false,-0.06208955223880597,-1,31.276524280296197,true,true,,direction_right_profit,0.0,0.2885485373470661,momentum
2020-05-05,2021-02-04,1.0,190,1.4879599967670845,2020-05-05,0.0008737093134270565,,1,,,unknown,false,no_data,true,0.031176470588235295,1,0.013277412040196137,true,true,,direction_right_profit,0.0,1.4879599967670845,momentum
2021-04-29,2021-07-29,-1.0,63,0.11682827103518578,2021-04-29,-0.003978654284922834,,-1,,,unknown,false,no_data,true,0.08122727272727273,1,0.0817361850178198,false,true,,direction_right_profit,0.0,0.11682827103518578,momentum
2022-02-08,2022-05-03,1.0,58,0.03507588737210399,2022-02-08,0.024903001409754252,,1,,,unknown,false,no_data,true,0.034491803278688525,1,0.043083933490756954,true,true,,direction_right_profit,0.0,0.03507588737210399,momentum
2022-05-03,2022-07-28,-1.0,59,0.17665055479948832,2022-05-03,0.4733656222644741,,1,,,unknown,false,no_data,true,0.0211787072243346,1,0.20196543853980922,true,true,,direction_right_profit,0.0,0.17665055479948832,momentum
2022-07-28,2023-02-07,1.0,133,0.30938960307817265,2022-07-28,-0.056481738636822106,,-1,,,unknown,false,no_data,false,-0.056025641025641025,-1,0.06088081701688499,true,true,,direction_right_profit,0.0,0.30938960307817265,momentum
2023-02-07,2023-05-02,-1.0,58,0.04775164208789673,2023-02-07,-0.37064697705202765,,-1,,,unknown,false,no_data,true,0.03694148936170213,1,0.06739339389367306,false,true,,direction_right_profit,0.0,0.04775164208789673,momentum
2023-10-31,2024-02-06,1.0,66,0.0683844224352037,2023-10-31,0.04349513099257272,,1,,,unknown,false,no_data,false,-0.004178674351585014,-1,0.0028056387774792703,false,true,,direction_right_profit,0.0,0.0683844224352037,momentum
2024-02-06,2024-07-30,-1.0,120,0.1903849786387234,2024-02-06,0.021626731951570718,,1,,,unknown,false,no_data,false,-0.06386699507389162,-1,0.062041972234485425,false,true,,direction_right_profit,0.0,0.1903849786387234,momentum
2024-07-30,2024-11-05,1.0,69,-0.05915867758550575,2024-07-30,-0.6213813871895753,,-1,,,unknown,false,no_data,false,-0.08288135593220339,-1,0.1352329355166993,true,false,,direction_wrong_loss,0.0,-0.05915867758550575,momentum
2024-11-05,2025-02-06,-1.0,62,-0.0905360779342359,2024-11-05,-0.36029237912895534,,-1,,,unknown,false,no_data,false,-0.1036896551724138,-1,0.07882519607432242,true,false,,direction_wrong_loss,0.0,-0.0905360779342359,momentum
2025-02-06,2025-07-31,1.0,120,0.2097379196277629,2025-02-06,-0.36815939501738415,,-1,,,unknown,false,no_data,false,-0.08629746835443038,-1,0.06018156008824317,true,true,,direction_right_profit,0.0,0.2097379196277629,momentum
2025-10-31,2026-01-30,-1.0,61,-0.10237357508776612,2025-10-31,0.1380859793112776,,1,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0,-0.10237357508776612,momentum
2026-01-30,2026-02-06,1.0,5,0.16894456435425353,2026-01-30,-8.736749822853366,,-1,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.16894456435425353,momentum
