entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2017-12-14,2018-01-12,-1.0,19,-0.10534640420244545,2018-01-30,,,0,,,unknown,false,no_data,true,0.06533832305047031,1,,false,false,,direction_wrong_loss,0.0,-0.10534640420244545,momentum
2018-01-16,2018-03-13,-1.0,39,-0.022093324482295174,2018-01-30,,,0,,,unknown,false,no_data,true,0.06533832305047031,1,,false,false,,direction_wrong_loss,0.0,-0.022093324482295174,momentum
2018-03-13,2018-05-14,1.0,43,0.061955517044459896,2018-04-25,,,0,,,unknown,false,no_data,true,0.07022657685241886,1,,false,true,,direction_right_profit,0.0,0.061955517044459896,momentum
2018-05-15,2018-06-04,1.0,13,0.2094302621638262,2018-07-25,,,0,,,unknown,false,no_data,true,0.04481810625919059,1,,false,true,,direction_right_profit,0.0,0.2094302621638262,momentum
2018-06-05,2018-09-12,1.0,69,0.10329981907964214,2018-07-25,,,0,,,unknown,false,no_data,true,0.04481810625919059,1,,false,true,,direction_right_profit,0.0,0.10329981907964214,momentum
2018-12-13,2018-12-20,1.0,5,-0.08953642374802306,2019-01-29,,,0,,,unknown,false,no_data,true,0.04294670234165967,1,,false,false,,direction_wrong_loss,0.0,-0.08953642374802306,momentum
2018-12-21,2019-01-04,1.0,8,-0.06255958010557883,2019-01-29,,,0,,,unknown,false,no_data,true,0.04294670234165967,1,,false,false,,direction_wrong_loss,0.0,-0.06255958010557883,momentum
2019-01-07,2019-01-25,1.0,13,0.19639850153419447,2019-01-29,,,0,,,unknown,false,no_data,true,0.04294670234165967,1,,false,true,,direction_right_profit,0.0,0.19639850153419447,momentum
2019-06-11,2019-07-25,-1.0,31,0.34958562962758044,2019-07-24,,,0,,,unknown,false,no_data,true,0.008545860546330653,1,,false,true,,direction_right_profit,0.0,0.34958562962758044,momentum
2019-07-26,2019-09-11,-1.0,32,0.09590621814850508,2019-10-23,-1.700846855672055,,-1,,,unknown,false,no_data,true,0.02511561961988995,1,,false,true,,direction_right_profit,0.0,0.09590621814850508,momentum
2019-09-11,2019-10-24,1.0,31,0.38771761301515184,2019-10-23,-1.700846855672055,,-1,,,unknown,false,no_data,true,0.02511561961988995,1,,false,true,,direction_right_profit,0.0,0.38771761301515184,momentum
2019-10-25,2019-12-13,1.0,34,0.09318757589269366,2020-01-29,-5.515663193783433e-15,,-1,,,unknown,false,no_data,true,0.00703603254552499,1,,false,true,,direction_right_profit,0.0,0.09318757589269366,momentum
2019-12-13,2020-01-09,-1.0,17,-0.11456066776673413,2020-01-29,-5.515663193783433e-15,,-1,,,unknown,false,no_data,true,0.00703603254552499,1,,false,false,,direction_wrong_loss,0.0,-0.11456066776673413,momentum
2020-01-10,2020-02-25,-1.0,30,0.21722970333350433,2020-01-29,-5.515663193783433e-15,,-1,,,unknown,false,no_data,true,0.00703603254552499,1,,false,true,,direction_right_profit,0.0,0.21722970333350433,momentum
2020-02-26,2020-03-12,-1.0,11,0.2084029162702593,2020-04-29,-0.004356593928173559,,-1,,,unknown,false,no_data,false,-0.06918281495497626,-1,0.06923228346280541,true,true,,direction_right_profit,0.0,0.2084029162702593,momentum
2020-03-18,2020-03-24,-1.0,4,-0.13391880494030528,2020-04-29,-0.004356593928173559,,-1,,,unknown,false,no_data,false,-0.06918281495497626,-1,0.06923228346280541,true,false,,direction_wrong_loss,0.0,-0.13391880494030528,momentum
2020-03-25,2020-04-20,-1.0,17,-0.07093866810570693,2020-04-29,-0.004356593928173559,,-1,,,unknown,false,no_data,false,-0.06918281495497626,-1,0.06923228346280541,true,false,,direction_wrong_loss,0.0,-0.07093866810570693,momentum
2020-04-21,2020-04-28,-1.0,5,-0.08677774472222777,2020-04-29,-0.004356593928173559,,-1,,,unknown,false,no_data,false,-0.06918281495497626,-1,0.06923228346280541,true,false,,direction_wrong_loss,0.0,-0.08677774472222777,momentum
2020-06-09,2020-07-15,1.0,25,0.12366378532976308,2020-07-22,1.9835118085465553e-11,,1,,,unknown,false,no_data,true,0.07277488505222131,1,0.0727748850527728,true,true,,direction_right_profit,0.0,0.12366378532976308,momentum
2020-07-16,2020-09-09,1.0,38,0.048284833099464075,2020-07-22,1.9835118085465553e-11,,1,,,unknown,false,no_data,true,0.07277488505222131,1,0.0727748850527728,true,true,,direction_right_profit,0.0,0.048284833099464075,momentum
2021-03-16,2021-04-12,-1.0,18,-0.10795519168408063,2021-04-28,-0.0008057146928730917,,-1,,,unknown,false,no_data,true,0.1095307772431923,1,0.15965930596285788,false,false,,direction_wrong_loss,0.0,-0.10795519168408063,momentum
2021-04-13,2021-06-15,-1.0,44,-0.007420685448890074,2021-04-28,-0.0008057146928730917,,-1,,,unknown,false,no_data,true,0.1095307772431923,1,0.15965930596285788,false,false,,direction_wrong_loss,0.0,-0.007420685448890074,momentum
2021-12-20,2021-12-23,-1.0,3,-0.10108761454111148,2022-02-02,-0.1472069433803264,,-1,,,unknown,false,no_data,true,0.01088235294117647,1,0.024614868549229736,false,false,,direction_wrong_loss,0.0,-0.10108761454111148,momentum
2021-12-27,2022-01-10,-1.0,10,0.169664381891522,2022-02-02,-0.1472069433803264,,-1,,,unknown,false,no_data,true,0.01088235294117647,1,0.024614868549229736,false,true,,direction_right_profit,0.0,0.169664381891522,momentum
2022-01-11,2022-01-24,-1.0,8,0.15225863008774432,2022-02-02,-0.1472069433803264,,-1,,,unknown,false,no_data,true,0.01088235294117647,1,0.024614868549229736,false,true,,direction_right_profit,0.0,0.15225863008774432,momentum
2022-03-15,2022-03-16,-1.0,1,-0.07657457085169517,2022-04-27,-0.20426644079559642,,-1,,,unknown,false,no_data,false,-0.02678,-1,0.0074973912933357055,true,false,,direction_wrong_loss,0.0,-0.07657457085169517,momentum
2022-03-17,2022-04-28,-1.0,29,0.28396165320231936,2022-04-27,-0.20426644079559642,,-1,,,unknown,false,no_data,false,-0.02678,-1,0.0074973912933357055,true,true,,direction_right_profit,0.0,0.28396165320231936,momentum
2022-04-29,2022-06-13,-1.0,30,0.15832502699275597,2022-07-27,-0.0029806880632638937,,-1,,,unknown,false,no_data,false,-0.04004950495049505,-1,0.03928550819363199,true,true,,direction_right_profit,0.0,0.15832502699275597,momentum
2022-09-14,2022-10-21,-1.0,27,0.15834484256466141,2022-10-26,-0.26672999837016953,,-1,,,unknown,false,no_data,false,-0.09246121542005586,-1,0.04857849178382567,true,true,,direction_right_profit,0.0,0.15834484256466141,momentum
2022-10-24,2022-12-16,-1.0,38,0.062349177888434526,2022-10-26,-0.26672999837016953,,-1,,,unknown,false,no_data,false,-0.09246121542005586,-1,0.04857849178382567,true,true,,direction_right_profit,0.0,0.062349177888434526,momentum
2022-12-16,2023-01-10,1.0,15,0.1717370068771169,2023-02-01,0.047280559571560965,,1,,,unknown,false,no_data,true,0.0030932193960433495,1,0.003862874171238191,true,true,,direction_right_profit,0.0,0.1717370068771169,momentum
2023-01-11,2023-02-01,1.0,14,0.2065681344410335,2023-02-01,0.047280559571560965,,1,,,unknown,false,no_data,true,0.0030932193960433495,1,0.003862874171238191,true,true,,direction_right_profit,0.0,0.2065681344410335,momentum
2023-02-02,2023-02-09,1.0,5,-0.1069801030277765,2023-04-26,-0.13167687934004818,,-1,,,unknown,false,no_data,true,0.04700214251617988,1,0.07299037649876458,false,false,,direction_wrong_loss,0.0,-0.1069801030277765,momentum
2023-03-14,2023-05-23,-1.0,49,0.11912339696140983,2023-04-26,-0.13167687934004818,,-1,,,unknown,false,no_data,true,0.04700214251617988,1,0.07299037649876458,false,true,,direction_right_profit,0.0,0.11912339696140983,momentum
2023-05-24,2023-06-07,-1.0,9,-0.07289406961974843,2023-07-26,-0.1539312047372311,,-1,,,unknown,false,no_data,true,0.014660470390507142,1,0.044323537467033006,false,false,,direction_wrong_loss,0.0,-0.07289406961974843,momentum
2023-06-08,2023-06-12,-1.0,2,-0.014767240302143492,2023-07-26,-0.1539312047372311,,-1,,,unknown,false,no_data,true,0.014660470390507142,1,0.044323537467033006,false,false,,direction_wrong_loss,0.0,-0.014767240302143492,momentum
2023-06-12,2023-06-27,1.0,10,0.09444567152640149,2023-07-26,-0.1539312047372311,,-1,,,unknown,false,no_data,true,0.014660470390507142,1,0.044323537467033006,false,true,,direction_right_profit,0.0,0.09444567152640149,momentum
2023-06-28,2023-09-13,1.0,53,-0.06566784473047127,2023-07-26,-0.1539312047372311,,-1,,,unknown,false,no_data,true,0.014660470390507142,1,0.044323537467033006,false,false,,direction_wrong_loss,0.0,-0.06566784473047127,momentum
2023-09-13,2023-09-20,-1.0,5,0.04004219321817093,2023-10-25,-0.2946904925725821,,-1,,,unknown,false,no_data,false,-0.03979,-1,0.03506753983625612,true,true,,direction_right_profit,0.0,0.04004219321817093,momentum
2023-09-21,2023-10-26,-1.0,25,0.36539230607013007,2023-10-25,-0.2946904925725821,,-1,,,unknown,false,no_data,false,-0.03979,-1,0.03506753983625612,true,true,,direction_right_profit,0.0,0.36539230607013007,momentum
2023-10-27,2023-11-15,-1.0,13,-0.0739499053977466,2024-01-31,0.042138255564162994,,1,,,unknown,false,no_data,true,0.03048156565384574,1,0.025665423030840462,true,false,,direction_wrong_loss,0.0,-0.0739499053977466,momentum
2023-12-15,2024-02-01,1.0,31,0.07203643297001894,2024-01-31,0.042138255564162994,,1,,,unknown,false,no_data,true,0.03048156565384574,1,0.025665423030840462,true,true,,direction_right_profit,0.0,0.07203643297001894,momentum
2024-02-02,2024-03-12,1.0,26,0.13428258342056498,2024-04-24,0.39676388745862634,,1,,,unknown,false,no_data,true,0.025729887598852336,1,0.05472202510573239,true,true,,direction_right_profit,0.0,0.13428258342056498,momentum
2024-03-12,2024-03-20,-1.0,6,-0.05941812285260584,2024-04-24,0.39676388745862634,,1,,,unknown,false,no_data,true,0.025729887598852336,1,0.05472202510573239,true,false,,direction_wrong_loss,0.0,-0.05941812285260584,momentum
2024-03-21,2024-05-23,-1.0,44,0.21439907859271656,2024-04-24,0.39676388745862634,,1,,,unknown,false,no_data,true,0.025729887598852336,1,0.05472202510573239,true,true,,direction_right_profit,0.0,0.21439907859271656,momentum
2024-05-24,2024-06-10,-1.0,10,-0.000312971725932476,2024-07-24,0.7469281454662838,,1,,,unknown,false,no_data,false,-0.011067307692307692,-1,0.06932835777826339,false,false,,direction_wrong_loss,0.0,-0.000312971725932476,momentum
2024-09-11,2024-12-19,1.0,70,-0.05138792973163098,2024-10-23,0.07515344133696705,,1,,,unknown,false,no_data,false,-0.012192658140897428,-1,0.013900724022877328,false,false,,direction_wrong_loss,0.0,-0.05138792973163098,momentum
2025-03-18,2025-04-23,-1.0,25,-0.07718955231549085,2025-04-30,-0.1593596451480958,,-1,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0,-0.07718955231549085,momentum
2025-04-24,2025-06-16,-1.0,36,0.009496933626877535,2025-04-30,-0.1593596451480958,,-1,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.009496933626877535,momentum
2025-12-10,2026-02-06,1.0,39,0.13987121166818017,2026-01-26,-0.26761527029986526,,-1,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.13987121166818017,momentum
