entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution
2018-10-09,2018-10-18,-1.0,7,0.09139556446990516,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,-0.038274057117747784,0.12966962158765294
2018-10-19,2018-10-23,-1.0,2,0.09396894017555102,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,-0.009556751280324738,0.10352569145587576
2018-10-24,2018-10-29,-1.0,3,-0.01459864260308441,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,-0.005502981827051223,-0.009095660776033188
2018-10-30,2018-11-01,-1.0,2,-0.06163769051708057,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,0.02143616342246446,-0.08307385393954503
2018-11-02,2018-11-07,-1.0,3,-0.07401238151485479,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,0.03354249545877375,-0.10755487697362853
2018-11-08,2018-12-03,-1.0,16,-0.05753840218304829,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,-0.004277900933127854,-0.05326050124992043
2018-12-04,2018-12-26,-1.0,14,0.0352617011189299,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,true,,direction_right_profit,-0.08374642367088936,0.11900812478981926
2018-12-27,2019-01-10,-1.0,9,-0.049656732900681844,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,0.04357642268270956,-0.0932331555833914
2019-01-11,2019-01-28,1.0,10,-0.052459548841837345,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,0.01845695128345204,-0.07091650012528938
2019-01-29,2019-02-20,1.0,15,0.10890726983121346,2019-04-24,,,0,,,unknown,false,low,true,0.0019345238095238096,1,,false,true,,direction_right_profit,0.05694543066382507,0.05196183916738839
2019-02-21,2019-03-07,1.0,10,-0.043778700067976684,2019-04-24,,,0,,,unknown,false,low,true,0.0019345238095238096,1,,false,false,,direction_wrong_loss,-0.008686923433575022,-0.03509177663440166
2019-03-08,2019-04-09,1.0,22,0.038066403280537564,2019-04-24,,,0,,,unknown,false,low,true,0.0019345238095238096,1,,false,true,,direction_right_profit,0.0514304860437973,-0.013364082763259733
2019-10-09,2019-10-11,-1.0,2,-0.07501675156612331,2019-10-23,,,0,,,unknown,false,low,false,-0.05705838876570584,-1,,false,false,,direction_wrong_loss,0.017200390059346482,-0.09221714162546979
2019-10-14,2019-10-22,-1.0,6,-0.04954722793752975,2019-10-23,,,0,,,unknown,false,low,false,-0.05705838876570584,-1,,false,false,,direction_wrong_loss,0.010339437468471324,-0.05988666540600107
2019-10-23,2019-11-01,-1.0,7,-0.06760741999778386,2019-10-23,,,0,,,unknown,false,low,false,-0.05705838876570584,-1,,false,false,,direction_wrong_loss,0.020875141536881303,-0.08848256153466516
2019-11-04,2020-01-31,-1.0,60,0.09970488526683563,2020-01-31,,,0,,,unknown,false,low,false,-0.03565663976522377,-1,,false,true,,direction_right_profit,0.05186554581956315,0.04783933944727248
2020-02-03,2020-02-05,-1.0,2,-0.05910431617093703,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,0.026965480535279696,-0.08606979670621673
2020-02-06,2020-02-27,-1.0,14,0.10185811358212027,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,-0.10919793988163795,0.21105605346375822
2020-02-28,2020-03-09,-1.0,6,0.1623469150767919,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,-0.07436061411980033,0.23670752919659221
2020-03-10,2020-03-12,-1.0,2,0.13362745659586805,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,-0.13976129790166902,0.2733887544975371
2020-03-13,2020-03-16,-1.0,1,0.0625251683125505,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,-0.10942334258050579,0.1719485108930563
2020-03-17,2020-03-25,-1.0,6,-0.04461087191026514,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,-0.01803343768379262,-0.02657743422647252
2020-03-26,2020-03-31,-1.0,3,-0.05013563913108743,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,-0.013208370474989684,-0.036927268656097745
2020-04-01,2020-04-02,-1.0,1,-0.04840580509625969,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,0.023075220045658762,-0.07148102514191845
2020-04-03,2020-04-06,-1.0,1,-0.05023103602721557,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,0.06716612483439377,-0.11739716086160934
2020-04-07,2020-04-08,-1.0,1,-0.04494729364701966,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,0.03356795975413762,-0.07851525340115728
2020-04-09,2020-04-14,-1.0,2,0.06838347546304113,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,0.020093431361604797,0.048290044101436336
2020-04-14,2020-04-15,1.0,1,-0.04249660363668273,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,-0.021248109743051025,-0.021248493893631704
2020-04-16,2020-05-04,1.0,12,-0.03984348066991439,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,false,,direction_wrong_loss,0.016016036202453066,-0.055859516872367454
2020-05-05,2020-05-13,1.0,6,-0.04067564099222443,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,false,,direction_wrong_loss,-0.016038386529314774,-0.024637254462909652
2020-05-14,2020-05-20,1.0,4,0.08946189728572818,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,true,,direction_right_profit,0.0419691596304268,0.047492737655301376
2020-05-21,2020-06-03,1.0,8,0.11423803083803663,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,true,,direction_right_profit,0.058667972971789606,0.055570057866247025
2020-06-04,2020-06-11,1.0,5,-0.05745971446936904,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,false,,direction_wrong_loss,-0.03452620533615136,-0.022933509133217678
2020-06-12,2020-07-14,1.0,21,0.1114900107419119,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,true,,direction_right_profit,0.052968172298219374,0.05852183844369252
2020-07-15,2020-07-31,1.0,12,-0.03241391666865878,2020-07-31,-1.1268091139487584,,-1,,,unknown,false,low,true,0.07726293103448276,1,,false,false,,direction_wrong_loss,0.01450953233361263,-0.04692344900227141
2020-08-03,2020-08-11,1.0,6,0.08157553267589712,2020-10-27,-1.5143612755338107,,-1,,,unknown,false,low,true,0.03792016806722689,1,,false,true,,direction_right_profit,0.012196043817492397,0.06937948885840473
2020-08-12,2020-10-09,1.0,41,0.1148208842160039,2020-10-27,-1.5143612755338107,,-1,,,unknown,false,low,true,0.03792016806722689,1,,false,true,,direction_right_profit,0.032000866670398365,0.08282001754560553
2020-10-12,2020-10-28,1.0,12,-0.06473569515182676,2020-10-27,-1.5143612755338107,,-1,,,unknown,false,low,true,0.03792016806722689,1,,false,false,,direction_wrong_loss,-0.07312108974237752,0.008385394590550765
2020-10-29,2020-11-09,1.0,7,0.10441582066588673,2021-01-29,1.0578127829606208e-15,,1,,,unknown,false,medium,true,0.009433962264150943,1,0.009433962264150672,true,true,,direction_right_profit,0.07448931590000862,0.029926504765878104
2020-11-10,2021-01-06,1.0,38,0.12513076237932674,2021-01-29,1.0578127829606208e-15,,1,,,unknown,false,medium,true,0.009433962264150943,1,0.009433962264150672,true,true,,direction_right_profit,0.059604223652065746,0.065526538727261
2021-01-07,2021-01-27,1.0,13,-0.06507198347428778,2021-01-29,1.0578127829606208e-15,,1,,,unknown,false,medium,true,0.009433962264150943,1,0.009433962264150672,true,false,,direction_wrong_loss,-0.012371369082770811,-0.052700614391516964
2021-01-28,2021-02-16,1.0,12,0.09786291437335337,2021-01-29,1.0578127829606208e-15,,1,,,unknown,false,medium,true,0.009433962264150943,1,0.009433962264150672,true,true,,direction_right_profit,0.03884735234316383,0.05901556203018954
2021-02-17,2021-02-24,1.0,5,0.09970352378947012,2021-04-29,-9.766485248059497e-10,,-1,,,unknown,false,medium,true,0.09759926131117266,1,0.0975992612582015,false,true,,direction_right_profit,-0.001580089193181422,0.10128361298265154
