entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2018-07-06,2018-07-16,1.0,6,-0.026504039854747252,2018-08-17,1.7603822535031413,0.0,1,,,unknown,low,true,0.12046739130434783,1,,true,false,direction_wrong_loss,0.014232784196327009,-0.04073682405107426
2018-07-17,2018-08-10,1.0,18,-0.006884013973605718,2018-08-17,1.7603822535031413,0.0,1,,,unknown,low,true,0.12046739130434783,1,,true,false,direction_wrong_loss,0.009591139448710484,-0.016475153422316202
2018-08-13,2018-10-10,1.0,41,0.08195919507235505,2018-08-17,1.7603822535031413,0.0,1,,,unknown,low,true,0.12046739130434783,1,,true,true,direction_right_profit,-0.009004778678329273,0.09096397375068432
2018-10-11,2018-11-01,-1.0,15,0.03973547090475249,2018-11-21,-4.645333855224024e-15,0.0,-1,,,unknown,low,true,0.09614668218859139,1,,false,true,direction_right_profit,0.004923243500562391,0.0348122274041901
2018-11-02,2018-11-26,-1.0,15,-0.05080390262328005,2018-11-21,-4.645333855224024e-15,0.0,-1,,,unknown,low,true,0.09614668218859139,1,,false,false,direction_wrong_loss,-0.016146366202982487,-0.03465753642029756
2018-11-27,2018-12-03,-1.0,4,-0.09742245717578801,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,false,direction_wrong_loss,0.040611194002993845,-0.13803365117878186
2018-12-04,2018-12-27,-1.0,15,0.032126057378149775,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,true,direction_right_profit,-0.0767118213310275,0.10883787870917727
2018-12-28,2019-01-03,-1.0,3,0.008466297358180275,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,true,direction_right_profit,-0.014288723642956525,0.0227550210011368
2019-01-03,2019-01-04,1.0,1,0.05296775454111402,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,true,direction_right_profit,0.033495909834966975,0.019471844706147046
2019-01-07,2019-03-22,1.0,52,0.011546243478441687,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,true,direction_right_profit,0.10260260984663683,-0.09105636636819514
2019-03-25,2019-04-04,1.0,8,0.04895747577088927,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,true,direction_right_profit,0.029171783594134748,0.01978569217675452
2019-04-04,2019-05-06,-1.0,21,0.024719993071845914,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,true,direction_right_profit,0.01963932764184184,0.005080665430004072
2019-05-07,2019-05-30,-1.0,16,0.10192696770163734,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,true,direction_right_profit,-0.03091056721685803,0.13283753491849537
2019-05-31,2019-06-07,-1.0,5,-0.06092647586661992,2019-08-16,-0.5884184240530863,0.7435897435897436,-1,0.9765557405096268,0.5000000000002672,strong_positive,high,true,0.07913978494623657,1,0.0789601934823105,false,false,direction_wrong_loss,0.044974307671934,-0.10590078353855392
2019-06-10,2019-06-18,-1.0,6,-0.06388056342019355,2019-08-16,-0.5884184240530863,0.7435897435897436,-1,0.9765557405096268,0.5000000000002672,strong_positive,high,true,0.07913978494623657,1,0.0789601934823105,false,false,direction_wrong_loss,0.011869491363130757,-0.0757500547833243
2019-06-19,2019-07-23,-1.0,23,-0.05741984126742472,2019-08-16,-0.5884184240530863,0.7435897435897436,-1,0.9765557405096268,0.5000000000002672,strong_positive,high,true,0.07913978494623657,1,0.0789601934823105,false,false,direction_wrong_loss,0.028763245685490046,-0.08618308695291477
2019-07-24,2019-08-19,-1.0,18,0.08846757772957914,2019-08-16,-0.5884184240530863,0.7435897435897436,-1,0.9765557405096268,0.5000000000002672,strong_positive,high,true,0.07913978494623657,1,0.0789601934823105,false,true,direction_right_profit,-0.030221274915595675,0.11868885264517481
2019-08-20,2019-08-29,-1.0,7,-0.028796525012847463,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,0.008583496992704776,-0.03738002200555224
2019-08-30,2019-09-10,-1.0,6,-0.058937314837245625,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,0.019422239477033587,-0.07835955431427921
2019-09-11,2019-10-11,-1.0,22,-0.03986894431752974,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,-0.008665590639052478,-0.031203353678477264
2019-10-14,2019-10-16,-1.0,2,-0.01260851145689701,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,0.008278289669122918,-0.020886801126019927
2019-10-16,2019-11-04,1.0,13,0.04700127642512242,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,true,direction_right_profit,0.030060102035174285,0.016941174389948133
2019-11-05,2019-11-27,1.0,16,-0.055108414760615565,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,0.027521503763594524,-0.08262991852421009
2019-11-29,2020-01-08,1.0,26,0.051256591491124714,2020-02-21,-0.2548030895320832,0.5769243857780754,1,-0.33296226466547185,-0.3333340895606658,regime_shift,medium,true,0.23080645161290322,1,0.25896379077782294,true,true,direction_right_profit,0.03733643733848169,0.013920154152643027
2020-01-08,2020-01-27,-1.0,12,0.07174539353891729,2020-02-21,-0.2548030895320832,0.5769243857780754,1,-0.33296226466547185,-0.3333340895606658,regime_shift,medium,true,0.23080645161290322,1,0.25896379077782294,true,true,direction_right_profit,-0.0029282339417500136,0.0746736274806673
2020-01-28,2020-02-05,-1.0,6,-0.03294855302034172,2020-02-21,-0.2548030895320832,0.5769243857780754,1,-0.33296226466547185,-0.3333340895606658,regime_shift,medium,true,0.23080645161290322,1,0.25896379077782294,true,false,direction_wrong_loss,0.018262859376023455,-0.051211412396365175
2020-02-06,2020-02-21,-1.0,10,-0.05075204162587532,2020-02-21,-0.2548030895320832,0.5769243857780754,1,-0.33296226466547185,-0.3333340895606658,regime_shift,medium,true,0.23080645161290322,1,0.25896379077782294,true,false,direction_wrong_loss,-0.0014970259907962635,-0.04925501563507906
2020-02-24,2020-03-13,-1.0,14,0.1914350400238306,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,true,direction_right_profit,-0.16469220000799467,0.3561272400318253
2020-03-16,2020-03-17,-1.0,1,-0.05547667708110948,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,false,direction_wrong_loss,0.053991958564704845,-0.10946863564581433
2020-03-18,2020-03-24,-1.0,4,-0.10323102078201263,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,false,direction_wrong_loss,0.01908222434620832,-0.12231324512822095
2020-03-25,2020-03-26,-1.0,1,-0.08249688396567034,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,false,direction_wrong_loss,0.05839004533919612,-0.14088692930486646
2020-03-27,2020-03-30,-1.0,1,-0.05120959477191023,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,false,direction_wrong_loss,0.03247571182145648,-0.0836853065933667
2020-03-31,2020-04-06,-1.0,4,-0.038578189433639,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,false,direction_wrong_loss,0.02758477666169612,-0.06616296609533512
2020-04-07,2020-04-17,-1.0,7,0.030527665159445272,2020-05-22,-0.001634518657231098,0.0,-1,0.10555801906941789,-0.33436425012344867,weak_negative,medium,true,0.08475967174677608,1,0.08488584004676744,false,true,direction_right_profit,0.08112990063597203,-0.05060223547652676
