entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2016-07-15,2016-08-19,-1.0,25,-0.04687694226626826,2016-08-19,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.012556163544178878,-0.05943310581044714
2016-08-22,2016-09-28,-1.0,26,0.03704039357323041,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,-0.0036412648415360405,0.04068165841476645
2016-09-29,2016-10-19,-1.0,14,-0.03219664805878297,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,-0.0018634169239284404,-0.030333231134854532
2017-01-12,2017-02-10,-1.0,20,-0.04820735772132845,2017-02-17,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.021983808619566947,-0.0701911663408954
2017-02-13,2017-04-25,-1.0,49,-0.02736039834457693,2017-02-17,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.029289720861736646,-0.056650119206313576
2017-04-26,2017-05-19,-1.0,17,-0.07418933809340844,2017-05-19,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,-0.00037777079456347007,-0.07381156729884497
2017-05-22,2017-06-16,-1.0,18,-0.05085873267897756,2017-08-18,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.017966154471738216,-0.06882488715071577
2017-06-19,2017-07-10,-1.0,14,-0.014042993114978364,2017-08-18,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,-0.009359826097160684,-0.00468316701781768
2017-07-11,2017-08-04,-1.0,18,-0.01319689303733762,2017-08-18,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.021553592089887275,-0.034750485127224895
2017-08-07,2017-09-19,-1.0,30,0.05293970987291541,2017-08-18,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.013476756044590976,0.03946295382832443
2017-09-20,2017-10-18,-1.0,20,-0.04356028412253843,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,false,direction_wrong_loss,0.022634430062788313,-0.06619471418532674
2018-01-11,2018-02-05,1.0,16,-0.06234351421906459,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,false,direction_wrong_loss,-0.04414750117119981,-0.01819601304786478
2018-02-06,2018-02-08,1.0,2,-0.05077854732831377,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,false,direction_wrong_loss,-0.042730473422995074,-0.008048073905318698
2018-02-09,2018-02-28,1.0,12,0.0383395649912206,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,true,direction_right_profit,0.03881427418101313,-0.0004747091897925326
2018-03-01,2018-03-19,1.0,12,0.01734579647451162,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,true,direction_right_profit,0.014468677956924303,0.002877118517587318
2018-03-20,2018-03-22,1.0,2,-0.05256608907007876,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,false,direction_wrong_loss,-0.02686865964940821,-0.025697429420670548
2018-03-23,2018-04-06,1.0,9,-0.013745946364115968,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,false,direction_wrong_loss,0.006471895428413088,-0.020217841792529057
2018-04-09,2018-04-13,1.0,4,0.04910464701021078,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,true,direction_right_profit,0.01590033886617026,0.03320430814404052
2018-04-13,2018-04-24,-1.0,7,0.07914404617149906,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,true,direction_right_profit,-0.008183745149768273,0.08732779132126733
2018-04-25,2018-05-08,-1.0,9,-0.029492620268461556,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,false,direction_wrong_loss,0.012479609004997894,-0.04197222927345945
2018-05-09,2018-05-18,-1.0,7,-0.0695097866433192,2018-05-18,,0.0,0,,,unknown,low,true,0.09387755102040816,1,,false,false,direction_wrong_loss,0.006790079597033483,-0.07629986624035268
2018-05-21,2018-06-06,-1.0,11,-0.0013895317900820547,2018-08-17,1.7603822535031413,0.0,1,,,unknown,low,true,0.12046739130434783,1,,true,false,direction_wrong_loss,0.014742488960834077,-0.016132020750916132
