entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2018-07-06,2018-10-10,1.0,67,0.058230083809754474,2018-08-17,1.7603822535031413,0.0,1,,,unknown,low,true,0.12046739130434783,1,,true,true,direction_right_profit,0.015030621309583214,0.04319946250017126
2018-10-10,2019-01-03,-1.0,57,0.018038324711009524,2018-11-21,-4.645333855224024e-15,0.0,-1,,,unknown,low,true,0.09614668218859139,1,,false,true,direction_right_profit,-0.11736917011443315,0.13540749482544268
2019-01-03,2019-02-25,1.0,35,0.14446369943534476,2019-02-15,4.6409112726444744e-15,0.0,1,0.9999999999999999,,strong_positive,medium,true,0.15704347826086956,1,0.1570434782608695,true,true,direction_right_profit,0.14458875643878888,-0.00012505700344411785
2019-02-26,2019-04-04,1.0,27,0.007524097219589576,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,true,direction_right_profit,0.032668692045352055,-0.02514459482576248
2019-04-04,2019-05-13,-1.0,26,0.1093522615627629,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,true,direction_right_profit,-0.02200724657544073,0.13135950813820363
2019-05-14,2019-06-20,-1.0,26,-0.10638297629465288,2019-05-17,-1.3922718866631368e-10,0.0,-1,0.9815340892500548,0.9999999999999999,strong_positive,medium,true,0.1098238747553816,1,0.10982387475491752,false,false,direction_wrong_loss,0.04396616520065488,-0.15034914149530776
2019-06-21,2019-10-16,-1.0,81,-0.050855877833287044,2019-08-16,-0.5884184240530863,0.7435897435897436,-1,0.9765557405096268,0.5000000000002672,strong_positive,high,true,0.07913978494623657,1,0.0789601934823105,false,false,direction_wrong_loss,0.01965319836056567,-0.07050907619385272
2019-10-16,2019-11-04,1.0,13,0.04700127642512242,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,true,direction_right_profit,0.030060102035174285,0.016941174389948133
2019-11-05,2020-01-08,1.0,43,-0.012610576322598321,2019-11-27,0.0004907723545181354,0.0,-1,-0.33333333349929944,0.33333333326802295,regime_shift,medium,true,0.16560659599528857,1,0.16557167844100001,false,false,direction_wrong_loss,0.061932648573042925,-0.07454322489564125
2020-01-08,2020-01-29,-1.0,14,0.089482628121349,2020-02-21,-0.2548030895320832,0.5769243857780754,1,-0.33296226466547185,-0.3333340895606658,regime_shift,medium,true,0.23080645161290322,1,0.25896379077782294,true,true,direction_right_profit,0.006687783317257612,0.08279484480409138
