entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2016-08-05,2016-08-19,-1.0,10,-0.11462864208420132,2016-08-19,,,0,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0016500468251012812,-0.1162786889093026,momentum
2016-08-22,2016-11-09,-1.0,56,-0.031897593291783766,2016-11-23,,,0,,,unknown,false,no_data,,,0,,false,false,,no_signal,-0.004836782343979107,-0.02706081094780466,momentum
2017-02-03,2017-04-25,-1.0,55,-0.053617925586138204,2017-02-17,,,0,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.04468373332980846,-0.09830165891594667,momentum
2017-04-26,2017-05-05,-1.0,7,-0.004975503765111133,2017-05-19,,,0,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.005452943281307299,-0.010428447046418432,momentum
2017-05-05,2017-05-19,1.0,10,0.06887116558462347,2017-05-19,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,-0.005799091956349756,0.07467025754097323,momentum
2017-05-22,2017-08-04,1.0,52,0.0713270956151506,2017-08-18,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0379782801020605,0.0333488155130901,momentum
2017-08-04,2017-08-18,-1.0,10,0.09587656718934323,2017-08-18,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,-0.018996787776100366,0.1148733549654436,momentum
2017-08-21,2017-09-19,-1.0,20,-0.05629895320925593,2017-11-22,,,0,,,unknown,false,no_data,true,0.16030390738060782,1,,false,false,,direction_wrong_loss,0.034213749171213115,-0.09051270238046905,momentum
2017-09-20,2017-10-23,-1.0,23,-0.050613891538902944,2017-11-22,,,0,,,unknown,false,no_data,true,0.16030390738060782,1,,false,false,,direction_wrong_loss,0.024194200724728665,-0.07480809226363161,momentum
2017-10-24,2017-11-08,-1.0,11,-0.027629597828829233,2017-11-22,,,0,,,unknown,false,no_data,true,0.16030390738060782,1,,false,false,,direction_wrong_loss,0.009938981256283785,-0.03756857908511302,momentum
2017-11-08,2017-11-20,1.0,8,0.016933736374715513,2017-11-22,,,0,,,unknown,false,no_data,true,0.16030390738060782,1,,false,true,,direction_right_profit,-0.0031260715859126043,0.020059807960628118,momentum
2017-11-21,2017-12-13,1.0,15,0.09135944714026123,2017-11-22,,,0,,,unknown,false,no_data,true,0.16030390738060782,1,,false,true,,direction_right_profit,0.026000964617673983,0.06535848252258725,momentum
2017-12-14,2018-01-09,1.0,16,0.11234601132657773,2018-02-16,,,0,,,unknown,false,no_data,true,0.080234375,1,,false,true,,direction_right_profit,0.03870868863912591,0.07363732268745182,momentum
2018-01-10,2018-02-02,1.0,16,0.00012121764215944353,2018-02-16,,,0,,,unknown,false,no_data,true,0.080234375,1,,false,true,,direction_right_profit,0.004851869663594632,-0.004730652021435189,momentum
2018-02-02,2018-02-06,-1.0,2,0.01867098620224783,2018-02-16,,,0,,,unknown,false,no_data,true,0.080234375,1,,false,true,,direction_right_profit,-0.02294431376447925,0.04161529996672708,momentum
2018-02-07,2018-02-16,-1.0,7,-0.04955434199354869,2018-02-16,,,0,,,unknown,false,no_data,true,0.080234375,1,,false,false,,direction_wrong_loss,0.020323400220448873,-0.06987774221399756,momentum
2018-02-20,2018-03-23,-1.0,23,0.1017782602272187,2018-05-18,,,0,,,unknown,false,no_data,true,0.09387755102040816,1,,false,true,,direction_right_profit,-0.04538146050802794,0.14715972073524664,momentum
2018-03-26,2018-04-24,-1.0,20,0.09575620226921555,2018-05-18,,,0,,,unknown,false,no_data,true,0.09387755102040816,1,,false,true,,direction_right_profit,-0.008034026280847373,0.10379022855006292,momentum
2018-04-25,2018-05-04,-1.0,7,0.005072692964528169,2018-05-18,,,0,,,unknown,false,no_data,true,0.09387755102040816,1,,false,true,,direction_right_profit,0.009065444136675316,-0.0039927511721471465,momentum
2019-02-01,2019-02-20,1.0,12,-0.024407747876870833,2019-02-15,4.6409112726444744e-15,,1,,,unknown,false,no_data,true,0.15704347826086956,1,0.1570434782608695,true,false,,direction_wrong_loss,0.030919343187538972,-0.055327091064409806,momentum
2019-02-21,2019-05-03,1.0,50,0.029876886830526805,2019-05-17,-1.3922718866631368e-10,,-1,,,unknown,false,no_data,true,0.1098238747553816,1,0.10982387475491752,false,true,,direction_right_profit,0.06454167974707992,-0.03466479291655311,momentum
2020-02-06,2020-02-21,-1.0,10,-0.05075204162587532,2020-02-21,-0.2548030895320832,,-1,,,unknown,false,no_data,true,0.23080645161290322,1,0.25896379077782294,false,false,,direction_wrong_loss,-0.0014970259907962635,-0.04925501563507906,momentum
2020-02-24,2020-02-28,-1.0,4,0.0894916175778051,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.08113612933126735,0.17062774690907245,momentum
2020-03-02,2020-03-09,-1.0,5,0.08491936991798021,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.1127826799385595,0.19770204985653972,momentum
2020-03-10,2020-03-12,-1.0,2,0.15872003591681405,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.13976129790166902,0.2984813338184831,momentum
2020-03-13,2020-03-16,-1.0,1,0.13608206689031954,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.10942334258050579,0.24550540947082533,momentum
2020-03-17,2020-03-18,-1.0,1,0.09865033562641279,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.05063288387787712,0.1492832195042899,momentum
2020-03-19,2020-03-23,-1.0,2,0.07111829546260895,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.06756057400213611,0.13867886946474506,momentum
2020-03-24,2020-03-25,-1.0,1,-0.01976164867011354,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,false,,direction_wrong_loss,0.014970193394188147,-0.03473184206430169,momentum
2020-03-26,2020-04-07,-1.0,8,-0.03262582619626264,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,false,,direction_wrong_loss,0.015045864466042724,-0.047671690662305366,momentum
2020-04-08,2020-04-15,-1.0,4,0.07808160071532821,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,0.01361228205620768,0.06446931865912053,momentum
2020-04-16,2020-04-17,-1.0,1,-0.06548694264090149,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,false,,direction_wrong_loss,0.027015539638189034,-0.09250248227909053,momentum
2020-04-20,2020-04-28,-1.0,6,-0.031026662779019665,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,false,,direction_wrong_loss,0.014702182164838762,-0.04572884494385843,momentum
2020-04-29,2020-05-04,-1.0,3,0.09626121730564263,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,true,,direction_right_profit,-0.03287710181329195,0.12913831911893459,momentum
2020-05-05,2020-05-08,-1.0,3,-0.013688773102097818,2020-05-22,-0.001634518657231098,,-1,,,unknown,false,no_data,true,0.08475967174677608,1,0.08488584004676744,false,false,,direction_wrong_loss,0.02183854511194605,-0.03552731821404387,momentum
2020-08-07,2020-08-21,1.0,10,0.08719342958083831,2020-08-21,0.0017512349118298234,,1,,,unknown,false,no_data,true,0.3794435857805255,1,0.3793470315944405,true,true,,direction_right_profit,0.01467534571083684,0.07251808387000147,momentum
2020-08-24,2020-09-30,1.0,26,0.0827249404507786,2020-11-25,-0.0020325033560267556,,-1,,,unknown,false,no_data,true,0.344060773480663,1,0.34391444061457827,false,true,,direction_right_profit,-0.019507217255124498,0.1022321577059031,momentum
2020-10-01,2020-10-16,1.0,11,0.09596430720981197,2020-11-25,-0.0020325033560267556,,-1,,,unknown,false,no_data,true,0.344060773480663,1,0.34391444061457827,false,true,,direction_right_profit,0.03041194583500162,0.06555236137481035,momentum
2020-10-19,2020-10-28,1.0,7,-0.0621405318924364,2020-11-25,-0.0020325033560267556,,-1,,,unknown,false,no_data,true,0.344060773480663,1,0.34391444061457827,false,false,,direction_wrong_loss,-0.044881712661618445,-0.017258819230817957,momentum
2020-10-29,2020-11-09,1.0,7,0.09143903187005353,2020-11-25,-0.0020325033560267556,,-1,,,unknown,false,no_data,true,0.344060773480663,1,0.34391444061457827,false,true,,direction_right_profit,0.07448931590000862,0.01694971597004491,momentum
