entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2020-03-04,2020-03-09,-1.0,3,0.12393207129616068,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.1234739135863564,0.24740598488251708
2020-03-10,2020-03-12,-1.0,2,0.14862302062355692,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.13976129790166902,0.28838431852522595
2020-03-13,2020-03-16,-1.0,1,0.14159834342772637,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.10942334258050579,0.25102168600823216
2020-03-17,2020-03-18,-1.0,1,0.044138348177552245,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.05063288387787712,0.09477123205542937
2020-03-19,2020-03-20,-1.0,1,0.03432139787255395,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.04309433147654784,0.07741572934910179
2020-03-23,2020-03-24,-1.0,1,-0.17443907458174368,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.09060310519441384,-0.2650421797761575
2020-03-25,2020-03-26,-1.0,1,-0.08941801230654489,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.05839004533919612,-0.147808057645741
2020-03-27,2020-03-30,-1.0,1,-0.028160105739011065,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.03247571182145648,-0.06063581756046754
2020-03-31,2020-04-01,-1.0,1,0.0746148928436865,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,-0.045004844527469445,0.11961973737115594
2020-04-02,2020-04-06,-1.0,2,-0.06952885437033074,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.051741298241732236,-0.12127015261206298
2020-04-07,2020-04-08,-1.0,1,-0.04185801656297494,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.03356795975413762,-0.07542597631711256
2020-04-09,2020-04-14,-1.0,2,-0.008237638408571835,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,false,direction_wrong_loss,0.020093431361604797,-0.02833106977017663
2020-04-15,2020-04-16,-1.0,1,0.0010958558053348888,2020-04-16,-1.6998486902005334,0.0,-1,,,unknown,low,true,0.047142857142857146,1,,false,true,direction_right_profit,0.004823912301345823,-0.003728056496010934
2020-04-17,2020-04-20,-1.0,1,0.01519953201701818,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,true,direction_right_profit,-0.017618260812817366,0.032817792829835546
2020-04-21,2020-04-22,-1.0,1,-0.031210388229455654,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.022194362566792636,-0.05340475079624829
2020-04-23,2020-04-29,-1.0,4,-0.012665163562076032,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.05063040056716295,-0.06329556412923898
2020-04-30,2020-05-05,-1.0,3,-0.00387568698599261,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,-0.01476865555027329,0.01089296856428068
2020-05-06,2020-05-07,-1.0,1,-0.04706456198228248,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.012066420522372612,-0.059130982504655094
2020-05-08,2020-05-13,-1.0,3,0.053628924310283654,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,true,direction_right_profit,-0.037067432837064596,0.09069635714734825
2020-05-14,2020-05-18,-1.0,2,-0.04086837305981206,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.03519659355948046,-0.07606496661929252
2020-05-19,2020-05-22,-1.0,3,-0.05988704013285662,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.011885037745569038,-0.07177207787842566
2020-05-26,2020-05-28,-1.0,2,-0.020139349955838215,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.013006616997671472,-0.03314596695350969
2020-05-29,2020-06-05,-1.0,5,-0.02194713276803495,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.04935609640510408,-0.07130322917313903
2020-06-08,2020-06-11,1.0,3,-0.07570439572839371,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,-0.06989534030381717,-0.005809055424576548
2020-06-12,2020-06-24,1.0,8,-0.006178305096472547,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,false,direction_wrong_loss,0.004004637177433823,-0.01018294227390637
2020-06-25,2020-07-17,1.0,15,0.17227214339297947,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,true,direction_right_profit,0.046754513413229226,0.12551762997975024
2020-07-20,2020-07-24,1.0,4,0.011669702469389254,2020-07-21,1.107410181806014,0.0,1,,,unknown,low,true,0.28574230833069275,1,,true,true,direction_right_profit,-0.010606516590290882,0.022276219059680136
2020-07-27,2020-09-02,1.0,27,0.11637850854468823,2020-10-15,-2.019205661551965e-14,0.0,1,-1.0000000000000002,,strong_negative,medium,true,0.11936267890899271,1,0.11936267890899385,true,true,direction_right_profit,0.1066765985208078,0.009701910023880433
2020-09-03,2020-09-09,-1.0,3,0.029840529290121598,2020-10-15,-2.019205661551965e-14,0.0,1,-1.0000000000000002,,strong_negative,medium,true,0.11936267890899271,1,0.11936267890899385,true,true,direction_right_profit,-0.01621350527364096,0.04605403456376256
2020-09-10,2020-09-18,-1.0,6,0.07090419420130978,2020-10-15,-2.019205661551965e-14,0.0,1,-1.0000000000000002,,strong_negative,medium,true,0.11936267890899271,1,0.11936267890899385,true,true,direction_right_profit,-0.00573994960896651,0.07664414381027629
2020-09-21,2020-09-22,-1.0,1,-0.037495118946531125,2020-10-15,-2.019205661551965e-14,0.0,1,-1.0000000000000002,,strong_negative,medium,true,0.11936267890899271,1,0.11936267890899385,true,false,direction_wrong_loss,0.010184200030605606,-0.04767931897713673
