entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2020-12-10,2021-03-10,-1.0,60,-0.13933707846231047,2021-01-26,,,0,,,unknown,false,no_data,true,0.14344969199178645,1,,false,false,,direction_wrong_loss,0.0,-0.13933707846231047,momentum
2021-03-11,2021-03-15,-1.0,2,-0.01728924029834511,2021-04-27,,,0,,,unknown,false,no_data,true,0.06281818181818181,1,,false,false,,direction_wrong_loss,0.0,-0.01728924029834511,momentum
2021-06-14,2021-09-08,-1.0,60,0.09249798504676576,2021-07-27,,,0,,,unknown,false,no_data,true,0.08220370370370371,1,,false,true,,direction_right_profit,0.0,0.09249798504676576,momentum
2021-09-09,2021-09-14,-1.0,3,-0.008652873285258211,2021-10-26,,,0,,,unknown,false,no_data,false,-0.06421818181818181,-1,,false,false,,direction_wrong_loss,0.0,-0.008652873285258211,momentum
2021-09-14,2021-10-21,1.0,27,0.03348048118435587,2021-10-26,,,0,,,unknown,false,no_data,false,-0.06421818181818181,-1,,false,true,,direction_right_profit,0.0,0.03348048118435587,momentum
2021-10-22,2021-12-08,1.0,32,0.025836459843620263,2021-10-26,,,0,,,unknown,false,no_data,false,-0.06421818181818181,-1,,false,true,,direction_right_profit,0.0,0.025836459843620263,momentum
2021-12-09,2021-12-10,1.0,1,0.0059812671568288955,2022-01-25,,,0,,,unknown,false,no_data,true,0.2290625,1,,false,true,,direction_right_profit,0.0,0.0059812671568288955,momentum
2022-03-14,2022-06-08,-1.0,60,-0.029571927367693984,2022-04-26,,,0,,,unknown,false,no_data,true,0.1102229845626072,1,,false,false,,direction_wrong_loss,0.0,-0.029571927367693984,momentum
2022-06-09,2022-06-10,-1.0,1,0.03328413014775633,2022-07-26,,,0,,,unknown,false,no_data,true,0.09293129770992366,1,,false,true,,direction_right_profit,0.0,0.03328413014775633,momentum
2022-09-13,2022-12-07,-1.0,60,-0.2185465577182435,2022-10-25,,,0,,,unknown,false,no_data,true,0.045762962962962964,1,,false,false,,direction_wrong_loss,0.0,-0.2185465577182435,momentum
2023-06-09,2023-09-06,1.0,60,0.08048225819221222,2023-07-25,-8.722064388586573e-15,,-1,,,unknown,false,no_data,true,0.11711949685534591,1,0.11711949685534624,false,true,,direction_right_profit,0.0,0.08048225819221222,momentum
2023-09-07,2023-09-12,1.0,3,0.026128668424047596,2023-10-24,3.297543282603658e-11,,1,,,unknown,false,no_data,true,0.08977443609022556,1,0.0897744360886982,true,true,,direction_right_profit,0.0,0.026128668424047596,momentum
2023-12-07,2024-03-06,1.0,60,0.2528521374758512,2024-01-23,-2.3933707777051193e-12,,-1,,,unknown,false,no_data,true,0.10690243902439024,1,0.10690243902446006,false,true,,direction_right_profit,0.0,0.2528521374758512,momentum
2024-03-07,2024-03-18,1.0,7,0.052567179922890395,2024-04-30,-1.1050369039275492,,-1,,,unknown,false,no_data,true,0.08490074441687345,1,35038497.35798443,false,true,,direction_right_profit,0.0,0.052567179922890395,momentum
2024-09-10,2024-12-04,1.0,60,0.2553127579876542,2024-10-22,0.41804500179648585,,1,,,unknown,false,no_data,true,0.08993386243386244,1,0.07949360971753135,true,true,,direction_right_profit,0.0,0.2553127579876542,momentum
2024-12-05,2024-12-11,1.0,4,-0.015048491569678468,2025-01-28,0.6294411235255726,,1,,,unknown,false,no_data,true,0.06713900134952766,1,0.055889422967848934,true,false,,direction_wrong_loss,0.0,-0.015048491569678468,momentum
2024-12-11,2025-01-22,-1.0,26,0.024661270595812135,2025-01-28,0.6294411235255726,,1,,,unknown,false,no_data,true,0.06713900134952766,1,0.055889422967848934,true,true,,direction_right_profit,0.0,0.024661270595812135,momentum
2025-01-23,2025-03-12,-1.0,33,0.06733324891981518,2025-01-28,0.6294411235255726,,1,,,unknown,false,no_data,true,0.06713900134952766,1,0.055889422967848934,true,true,,direction_right_profit,0.0,0.06733324891981518,momentum
2025-03-13,2025-03-17,-1.0,2,-0.0279414013110606,2025-04-29,-0.9677495700701472,,-1,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0,-0.0279414013110606,momentum
2025-12-09,2026-01-23,1.0,30,0.13443502691189213,2026-01-24,-0.09030282083713827,,-1,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.13443502691189213,momentum
2026-01-26,2026-02-06,1.0,9,0.042912110700008554,,,,0,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.042912110700008554,momentum
