entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2023-03-29,2023-03-30,1.0,1,-0.02773723501688874,2023-04-27,1.7672786291964697,0.5883924351239106,1,,,unknown,false,medium,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.0,-0.02773723501688874,divergence
2023-03-31,2023-04-03,1.0,1,0.11478874199543188,2023-04-27,1.7672786291964697,0.5883924351239106,1,,,unknown,false,medium,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.0,0.11478874199543188,divergence
2023-04-04,2023-04-05,1.0,1,0.041113644637664315,2023-04-27,1.7672786291964697,0.5883924351239106,1,,,unknown,false,medium,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.0,0.041113644637664315,divergence
2024-04-03,2024-04-05,1.0,2,0.010526352019285978,2024-05-01,0.38161531598544135,0.24882958709988373,1,,,unknown,false,low,true,0.06887449004079674,1,0.0662545763019389,true,true,,direction_right_profit,0.0,0.010526352019285978,divergence
2024-04-08,2024-04-12,1.0,4,0.026310448109192475,2024-05-01,0.38161531598544135,0.24882958709988373,1,,,unknown,false,low,true,0.06887449004079674,1,0.0662545763019389,true,true,,direction_right_profit,0.0,0.026310448109192475,divergence
2024-04-15,2024-04-16,1.0,1,0.02747041988660559,2024-05-01,0.38161531598544135,0.24882958709988373,1,,,unknown,false,low,true,0.06887449004079674,1,0.0662545763019389,true,true,,direction_right_profit,0.0,0.02747041988660559,divergence
2024-07-03,2024-07-15,1.0,7,0.050612974851718784,2024-08-01,0.007384996272733672,0.034573910862808144,1,,,unknown,false,low,true,0.06063618290258449,1,0.06059380918192079,true,true,,direction_right_profit,0.0,0.050612974851718784,divergence
2024-07-16,2024-07-18,1.0,2,-0.04314796508108476,2024-08-01,0.007384996272733672,0.034573910862808144,1,,,unknown,false,low,true,0.06063618290258449,1,0.06059380918192079,true,false,,direction_wrong_loss,0.0,-0.04314796508108476,divergence
2024-07-19,2024-07-24,1.0,3,-0.00029649136059006764,2024-08-01,0.007384996272733672,0.034573910862808144,1,,,unknown,false,low,true,0.06063618290258449,1,0.06059380918192079,true,false,,direction_wrong_loss,0.0,-0.00029649136059006764,divergence
2025-01-27,2025-01-28,1.0,1,-0.02463521096720578,2025-02-25,2.1021314215766775e-6,0.0005173477128164149,1,,,unknown,false,low,true,0.024009603841536616,1,0.02400963111944052,true,false,,direction_wrong_loss,0.0,-0.02463521096720578,divergence
2025-01-29,2025-02-03,1.0,3,-0.023303591766403065,2025-02-25,2.1021314215766775e-6,0.0005173477128164149,1,,,unknown,false,low,true,0.024009603841536616,1,0.02400963111944052,true,false,,direction_wrong_loss,0.0,-0.023303591766403065,divergence
2025-02-04,2025-02-06,1.0,2,-0.011174681705352518,2025-02-25,2.1021314215766775e-6,0.0005173477128164149,1,,,unknown,false,low,true,0.024009603841536616,1,0.02400963111944052,true,false,,direction_wrong_loss,0.0,-0.011174681705352518,divergence
2025-10-07,2025-10-10,-1.0,3,0.04882988765105034,2025-11-04,-0.3516838980903971,0.15590336212722494,-1,,,unknown,false,low,,,0,,false,true,,no_signal,0.0,0.04882988765105034,divergence
2025-10-13,2025-10-14,-1.0,1,-0.027878732392282224,2025-11-04,-0.3516838980903971,0.15590336212722494,-1,,,unknown,false,low,,,0,,false,false,,no_signal,0.0,-0.027878732392282224,divergence
2025-10-15,2025-10-16,-1.0,1,-0.005331762859151823,2025-11-04,-0.3516838980903971,0.15590336212722494,-1,,,unknown,false,low,,,0,,false,false,,no_signal,0.0,-0.005331762859151823,divergence
