entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2018-04-23,2018-09-21,1.0,106,0.18408160628590342,2018-04-26,,0.0,0,,,unknown,low,true,0.01898989898989899,1,,false,true,direction_right_profit,0.10525858158515189,0.07882302470075153
2018-09-24,2018-10-23,1.0,21,-0.05288456462391278,2018-10-26,,0.0,0,,,unknown,low,false,-0.0017934782608695651,-1,,false,false,direction_wrong_loss,-0.05982418105680187,0.006939616432889095
2018-10-23,2018-10-26,-1.0,3,0.07205630510885563,2018-10-26,,0.0,0,,,unknown,low,false,-0.0017934782608695651,-1,,false,true,direction_right_profit,-0.0302618377229098,0.10231814283176544
2018-10-29,2019-01-29,-1.0,61,0.08136731918580287,2019-02-01,,0.0,0,,,unknown,low,true,0.005339805825242718,1,,false,true,direction_right_profit,0.004124235429255885,0.07724308375654698
2019-01-29,2019-03-18,1.0,33,0.18606844796134192,2019-02-01,,0.0,0,,,unknown,low,true,0.005339805825242718,1,,false,true,direction_right_profit,0.07654812968146452,0.1095203182798774
2019-03-19,2019-04-23,1.0,24,-0.021693776366202733,2019-04-26,,0.0,0,,,unknown,low,true,0.0027918781725888324,1,,false,false,direction_wrong_loss,0.03711055895895199,-0.05880433532515472
2019-04-23,2019-05-23,-1.0,22,0.07168454639107746,2019-04-26,,0.0,0,,,unknown,low,true,0.0027918781725888324,1,,false,true,direction_right_profit,-0.03667046294921672,0.10835500934029418
2019-05-24,2019-07-23,-1.0,40,-0.09231616972129775,2019-07-26,,0.0,0,,,unknown,low,true,0.004343434343434344,1,,false,false,direction_wrong_loss,0.06616236084990379,-0.15847853057120154
2019-07-23,2019-07-24,1.0,1,0.008010968962129716,2019-07-26,,0.0,0,,,unknown,low,true,0.004343434343434344,1,,false,true,direction_right_profit,0.00469910025240261,0.003311868709727106
2019-07-25,2019-10-31,1.0,69,0.11752787757586525,2019-07-26,,0.0,0,,,unknown,low,true,0.004343434343434344,1,,false,true,direction_right_profit,0.01576901430044031,0.10175886327542494
2020-01-30,2020-03-09,-1.0,26,0.26405609984513134,2020-02-04,15.909902551384826,0.0,1,,,unknown,low,true,0.0074407582938388625,1,,true,true,direction_right_profit,-0.16311651000703498,0.4271726098521663
2020-03-10,2020-03-13,-1.0,3,0.17335795161535328,2020-05-11,-1.1460366698414277e-15,0.0,1,-0.9999999999999998,,strong_negative,medium,false,-0.08051546391752577,-1,0.08051546391752577,false,true,direction_right_profit,-0.06622312424845578,0.23958107586380906
2020-03-16,2020-03-25,-1.0,7,-0.05250025225629229,2020-05-11,-1.1460366698414277e-15,0.0,1,-0.9999999999999998,,strong_negative,medium,false,-0.08051546391752577,-1,0.08051546391752577,false,false,direction_wrong_loss,0.03498486026070968,-0.08748511251700197
2020-03-26,2020-04-08,-1.0,9,-0.10342111410248522,2020-05-11,-1.1460366698414277e-15,0.0,1,-0.9999999999999998,,strong_negative,medium,false,-0.08051546391752577,-1,0.08051546391752577,false,false,direction_wrong_loss,0.049118883193042695,-0.15253999729552792
